,Source language,Translation 1,Translation 2,Translation 3,Translation 4,Translation 5
1019,( Large ( a ) & Large ( e ) ) | ( ~ Large ( e ) & ~ Large ( a ) ),at least one of these holds : \item a and e are large \item e is not large and a is not large,0,0,0,0
1020,"( FrontOf ( e , d ) & ~ ( Large ( e ) & Tet ( e ) ) ) | ( Large ( e ) & Tet ( e ) )",at least one of these holds : \item e is in front of d and it is not the case that e is large and e is a tetrahedron \item e is large and e is a tetrahedron,0,0,0,0
1021,( ~ Cube ( e ) & ( Large ( b ) | Large ( d ) ) ) | Cube ( e ),at least one of these holds : \item e is not a cube and b or d is large \item e is a cube,0,0,0,0
1022,"( SameShape ( b , d ) $ SameSize ( b , d ) ) & ( ~ SameSize ( b , d ) $ ~ SameShape ( b , d ) )","all these hold : \item if b is of the same shape as d , then b is of the same size as d \item if b is not of the same size as d , then b is not of the same shape as d",0,0,0,0
1023,"~ ( ~ Larger ( a , c ) | ~ Larger ( e , c ) | ~ ~ ( Large ( a ) | Large ( e ) ) )","it is not the case that a is not larger than c , e is not larger than c or it is not the case that it is not the case that a or e is large",0,0,0,0
1024,( Small ( d ) & Dodec ( d ) ) | Small ( a ),at least one of these holds : \item d is small and d is a dodecahedron \item a is small,0,0,0,0
1025,~ ( Small ( d ) & Dodec ( d ) ) $ Small ( a ),"if it is not the case that d is small and d is a dodecahedron , then a is small",0,0,0,0
1026,( Small ( c ) & Dodec ( d ) ) $ ~ ( Small ( d ) | Large ( d ) ),"if c is small and d is a dodecahedron , then it is not the case that d is small or large",0,0,0,0
1027,Large ( f ) $ ( Dodec ( f ) | Cube ( f ) ),"if f is large , then f is a dodecahedron or f is a cube",0,0,0,0
1028,( ( Tet ( a ) & Tet ( c ) ) $ Large ( a ) ) | ( ( Tet ( a ) & Tet ( c ) ) $ Large ( c ) ),"at least one of these holds : \item if a is a tetrahedron and c is a tetrahedron , then a is large \item if a is a tetrahedron and c is a tetrahedron , then c is large",0,0,0,0
1029,~ ( Dodec ( d ) & Small ( d ) ) $ Small ( a ),"if it is not the case that d is a dodecahedron and d is small , then a is small",0,0,0,0
1030,( Dodec ( d ) & Small ( d ) ) | Small ( a ),at least one of these holds : \item d is a dodecahedron and d is small \item a is small,0,0,0,0
1031,( Tet ( c ) & Tet ( a ) ) $ ( Large ( c ) | Large ( a ) ),"if c is a tetrahedron and a is a tetrahedron , then c or a is large",0,0,0,0
1032,"SameSize ( d , e ) & SameSize ( e , d )",d is of the same size as e and e is of the same size as d,0,0,0,0
1033,"SameShape ( d , e ) & SameShape ( e , d )",d is of the same shape as e and e is of the same shape as d,0,0,0,0
1034,~ Large ( c ) & Tet ( a ),c is not large and a is a tetrahedron,0,0,0,0
1035,~ ( Large ( a ) | Large ( c ) ) $ ~ ( Tet ( a ) & Tet ( c ) ),"if it is not the case that a or c is large , then it is not the case that a is a tetrahedron and c is a tetrahedron",0,0,0,0
1036,~ ( ~ Cube ( d ) & ~ Cube ( e ) & ~ Cube ( f ) ) $ ~ Medium ( c ),"if it is not the case that d is not a cube , e is not a cube and f is not a cube , then c is not medium",0,0,0,0
1037,"~ Larger ( b , c ) $ ~ Larger ( c , e )","if b is not larger than c , then c is not larger than e",0,0,0,0
1038,Tet ( a ) $ ( Tet ( a ) & Tet ( b ) ),"if a is a tetrahedron , then a is a tetrahedron and b is a tetrahedron",0,0,0,0
1039,( Tet ( a ) & Tet ( c ) ) $ ( Large ( a ) | Large ( c ) | ( Large ( a ) & Large ( c ) ) ),"if a is a tetrahedron and c is a tetrahedron , then a , c or a and c are large",0,0,0,0
1040,Medium ( c ) $ ~ ( Cube ( e ) | Cube ( d ) | Cube ( f ) ),"if c is medium , then it is not the case that e is a cube , d is a cube or f is a cube",0,0,0,0
1041,( Tet ( a ) & Tet ( c ) ) $ ( Large ( c ) | Large ( a ) ),"if a is a tetrahedron and c is a tetrahedron , then c or a is large",0,0,0,0
1042,~ Tet ( b ) $ ~ Tet ( a ),"if b is not a tetrahedron , then a is not a tetrahedron",0,0,0,0
1043,( Tet ( a ) & Tet ( c ) ) $ ( ( Large ( a ) & Tet ( a ) ) | ( Large ( c ) & Tet ( c ) ) ),"if a is a tetrahedron and c is a tetrahedron , then at least one of these holds : \item a is large and a is a tetrahedron \item c is large and c is a tetrahedron",0,0,0,0
1044,( Large ( d ) | Small ( d ) ) $ ~ ( Small ( c ) & Dodec ( d ) ),"if d is large or small , then it is not the case that c is small and d is a dodecahedron",0,0,0,0
1045,Medium ( c ) $ ( ~ Cube ( d ) & ~ Cube ( f ) & ~ Cube ( e ) ),"if c is medium , then d is not a cube , f is not a cube and e is not a cube",0,0,0,0
1046,Medium ( c ) $ ~ ( Cube ( d ) | Cube ( f ) | Cube ( e ) ),"if c is medium , then it is not the case that d is a cube , f is a cube or e is a cube",0,0,0,0
1047,Small ( a ) | ( Small ( d ) & Dodec ( d ) ),at least one of these holds : \item a is small \item d is small and d is a dodecahedron,0,0,0,0
1048,~ ~ ( Small ( c ) & Dodec ( d ) ) $ ~ ( Large ( d ) | Small ( d ) ),"if it is not the case that it is not the case that c is small and d is a dodecahedron , then it is not the case that d is large or small",0,0,0,0
1049,( Tet ( c ) & Tet ( a ) ) $ ( Large ( a ) | Large ( c ) ),"if c is a tetrahedron and a is a tetrahedron , then a or c is large",0,0,0,0
1050,( Cube ( d ) | Cube ( e ) | Cube ( f ) ) $ ~ Medium ( c ),"if d is a cube , e is a cube or f is a cube , then c is not medium",0,0,0,0
1051,Medium ( c ) $ ( ~ Cube ( f ) & ~ Cube ( d ) & ~ Cube ( e ) ),"if c is medium , then f is not a cube , d is not a cube and e is not a cube",0,0,0,0
1052,( Medium ( c ) $ ~ Cube ( d ) ) & ( Medium ( c ) $ ~ Cube ( e ) ) & ( Medium ( c ) $ ~ Cube ( f ) ),"all these hold : \item if c is medium , then d is not a cube , if c is medium , then e is not a cube \item if c is medium , then f is not a cube",0,0,0,0
1053,( ~ Small ( d ) | ~ Dodec ( d ) ) $ Small ( a ),"if d is not small or d is not a dodecahedron , then a is small",0,0,0,0
1054,Medium ( c ) $ ( ~ Cube ( e ) & ~ Cube ( d ) & ~ Cube ( f ) ),"if c is medium , then e is not a cube , d is not a cube and f is not a cube",0,0,0,0
1055,( Tet ( a ) & Tet ( c ) ) $ ( ( Tet ( a ) & Large ( a ) ) | ( Tet ( c ) & Large ( c ) ) ),"if a is a tetrahedron and c is a tetrahedron , then at least one of these holds : \item a is a tetrahedron and a is large \item c is a tetrahedron and c is large",0,0,0,0
1056,( Tet ( a ) & Tet ( c ) ) $ ~ ( ~ Large ( a ) & ~ Large ( c ) ),"if a is a tetrahedron and c is a tetrahedron , then it is not the case that a is not large and c is not large",0,0,0,0
1057,( Dodec ( d ) & Small ( c ) ) $ ~ ( Small ( d ) | Large ( d ) ),"if d is a dodecahedron and c is small , then it is not the case that d is small or large",0,0,0,0
1058,~ ~ ( Cube ( d ) | Cube ( e ) | Cube ( f ) ) $ ~ Medium ( c ),"if it is not the case that it is not the case that d is a cube , e is a cube or f is a cube , then c is not medium",0,0,0,0
1059,Small ( a ) | ( Dodec ( d ) & Small ( d ) ),at least one of these holds : \item a is small \item d is a dodecahedron and d is small,0,0,0,0
1060,Cube ( f ) | ( Large ( f ) $ Dodec ( f ) ),"at least one of these holds : \item f is a cube \item if f is large , then f is a dodecahedron",0,0,0,0
1061,( Large ( f ) $ Cube ( f ) ) | ( Large ( f ) $ Dodec ( f ) ),"at least one of these holds : \item if f is large , then f is a cube \item if f is large , then f is a dodecahedron",0,0,0,0
1062,"~ SameSize ( d , e ) $ SameSize ( d , e )","if d is not of the same size as e , then d is of the same size as e",0,0,0,0
1063,"~ SameShape ( d , e ) $ SameShape ( d , e )","if d is not of the same shape as e , then d is of the same shape as e",0,0,0,0
1064,~ ( Tet ( a ) $ Large ( c ) ),"it is not the case that if a is a tetrahedron , then c is large",0,0,0,0
1065,( Tet ( a ) & Tet ( c ) ) $ ( ( Large ( a ) & Large ( c ) ) | Large ( a ) | Large ( c ) ),"if a is a tetrahedron and c is a tetrahedron , then a and c , a or c are large",0,0,0,0
1066,( ~ Large ( a ) & ~ Large ( c ) ) $ ~ ( Tet ( a ) & Tet ( c ) ),"if a is not large and c is not large , then it is not the case that a is a tetrahedron and c is a tetrahedron",0,0,0,0
1067,( Cube ( d ) | Cube ( f ) | Cube ( e ) ) $ ~ Medium ( c ),"if d is a cube , f is a cube or e is a cube , then c is not medium",0,0,0,0
1068,~ ( Dodec ( d ) & Small ( d ) ) $ ( Small ( a ) & ~ ( Dodec ( d ) & Small ( d ) ) ),"if it is not the case that d is a dodecahedron and d is small , then a is small and it is not the case that d is a dodecahedron and d is small",0,0,0,0
1069,( Small ( d ) & Dodec ( d ) ) | ( Small ( a ) & ~ ( Small ( d ) & Dodec ( d ) ) ),at least one of these holds : \item d is small and d is a dodecahedron \item a is small and it is not the case that d is small and d is a dodecahedron,0,0,0,0
1070,~ ( Tet ( a ) & Tet ( c ) ) | Large ( a ) | Large ( c ),"it is not the case that a is a tetrahedron and c is a tetrahedron , a is large or c is large",0,0,0,0
1071,~ ~ Small ( a ) | ( Small ( d ) & Dodec ( d ) ),at least one of these holds : \item it is not the case that a is not small \item d is small and d is a dodecahedron,0,0,0,0
1072,"Larger ( c , e ) $ Smaller ( c , b )","if c is larger than e , then c is smaller than b",0,0,0,0
1073,( Tet ( a ) & Tet ( c ) & ( Large ( a ) | Large ( c ) ) ) | ~ ( Tet ( a ) & Tet ( c ) ),"at least one of these holds : \item a is a tetrahedron , c is a tetrahedron and a or c is large \item it is not the case that a is a tetrahedron and c is a tetrahedron",0,0,0,0
1074,( ~ Cube ( d ) & ~ Cube ( e ) & ~ Cube ( f ) & Medium ( c ) ) | ~ Medium ( c ),"at least one of these holds : \item d is not a cube , e is not a cube , f is not a cube and c is medium \item c is not medium",0,0,0,0
1075,"( Larger ( c , e ) & Larger ( b , c ) ) | ~ Larger ( c , e )",at least one of these holds : \item c is larger than e and b is larger than c \item c is not larger than e,0,0,0,0
1076,( ~ Dodec ( d ) | ~ Small ( d ) ) $ Small ( a ),"if d is not a dodecahedron or d is not small , then a is small",0,0,0,0
1077,Cube ( f ) | Dodec ( f ) | ~ Large ( f ),"f is a cube , f is a dodecahedron or f is not large",0,0,0,0
1078,( Small ( d ) & Dodec ( d ) ) | ( Small ( a ) & ~ ( Dodec ( d ) & Small ( d ) ) ),at least one of these holds : \item d is small and d is a dodecahedron \item a is small and it is not the case that d is a dodecahedron and d is small,0,0,0,0
1079,Medium ( c ) $ ( ~ Cube ( f ) & ~ Cube ( e ) & ~ Cube ( d ) ),"if c is medium , then f is not a cube , e is not a cube and d is not a cube",0,0,0,0
1080,~ ( Large ( c ) | Large ( a ) ) $ ~ ( Tet ( a ) & Tet ( c ) ),"if it is not the case that c or a is large , then it is not the case that a is a tetrahedron and c is a tetrahedron",0,0,0,0
1081,~ ( Cube ( f ) | Dodec ( f ) ) $ ~ Large ( f ),"if it is not the case that f is a cube or f is a dodecahedron , then f is not large",0,0,0,0
1082,( ~ Small ( a ) $ Dodec ( d ) ) & ( ~ Small ( a ) $ Small ( d ) ),"all these hold : \item if a is not small , then d is a dodecahedron \item if a is not small , then d is small",0,0,0,0
1083,( Dodec ( d ) & Small ( c ) ) $ ( ~ Large ( d ) & ~ Small ( d ) ),"if d is a dodecahedron and c is small , then d is not large and d is not small",0,0,0,0
1084,Medium ( c ) $ ~ ( Cube ( f ) | Cube ( d ) | Cube ( e ) ),"if c is medium , then it is not the case that f is a cube , d is a cube or e is a cube",0,0,0,0
1085,Medium ( c ) $ ( ~ Cube ( d ) & ~ ( Cube ( e ) | Cube ( f ) ) ),"if c is medium , then d is not a cube and it is not the case that e is a cube or f is a cube",0,0,0,0
1086,~ ( ~ Tet ( a ) | Large ( c ) ),it is not the case that a is not a tetrahedron or c is large,0,0,0,0
1087,( Dodec ( d ) & Small ( d ) ) | ( ( ~ Dodec ( d ) | ~ Small ( d ) ) & Small ( a ) ),at least one of these holds : \item d is a dodecahedron and d is small \item all these hold : \item d is not a dodecahedron or d is not small \item a is small,0,0,0,0
1088,~ ( Tet ( a ) $ ~ ~ Large ( c ) ),"it is not the case that if a is a tetrahedron , then it is not the case that c is not large",0,0,0,0
1089,( Tet ( a ) & Tet ( c ) ) $ ( Large ( a ) | Large ( a ) | Large ( c ) ),"if a is a tetrahedron and c is a tetrahedron , then a , a or c is large",0,0,0,0
1090,Medium ( c ) $ ~ ( Cube ( d ) | Cube ( e ) | Cube ( f ) | Cube ( e ) ),"if c is medium , then it is not the case that d is a cube , e is a cube , f is a cube or e is a cube",0,0,0,0
1091,"SameSize ( d , e ) & SameSize ( d , e )",d is of the same size as e and of the same size as e,0,0,0,0
1092,Medium ( c ) $ ~ ( Cube ( e ) | Cube ( f ) | Cube ( d ) ),"if c is medium , then it is not the case that e is a cube , f is a cube or d is a cube",0,0,0,0
1093,Medium ( c ) $ ( ~ ( Cube ( d ) | Cube ( e ) ) & ~ Cube ( f ) ),"if c is medium , then it is not the case that d is a cube or e is a cube and f is not a cube",0,0,0,0
1094,~ Medium ( c ) | ~ ( Cube ( d ) | Cube ( e ) | Cube ( f ) ),"c is not medium or it is not the case that d is a cube , e is a cube or f is a cube",0,0,0,0
1095,Large ( a ) | Large ( c ) | ~ ( Tet ( a ) & Tet ( c ) ),"a is large , c is large or it is not the case that a is a tetrahedron and c is a tetrahedron",0,0,0,0
1096,"Larger ( b , c ) | ~ Larger ( c , e )",b is larger than c or c is not larger than e,0,0,0,0
1097,~ ( Small ( c ) & Dodec ( d ) ) | ( ~ Large ( d ) & ~ Small ( d ) ),at least one of these holds : \item it is not the case that c is small and d is a dodecahedron \item d is not large and d is not small,0,0,0,0
1098,~ Medium ( c ) | ( ~ Cube ( d ) & ~ Cube ( e ) & ~ Cube ( f ) ),"at least one of these holds : \item c is not medium \item d is not a cube , e is not a cube and f is not a cube",0,0,0,0
1099,~ Large ( f ) | Cube ( f ) | Dodec ( f ),"f is not large , f is a cube or f is a dodecahedron",0,0,0,0
1100,"~ Larger ( c , e ) | Larger ( b , c )",c is not larger than e or b is larger than c,0,0,0,0
1101,( ~ Dodec ( d ) $ Small ( a ) ) & ( ~ Small ( d ) $ Small ( a ) ),"all these hold : \item if d is not a dodecahedron , then a is small \item if d is not small , then a is small",0,0,0,0
1102,( Large ( f ) $ Cube ( f ) ) | Dodec ( f ),"at least one of these holds : \item if f is large , then f is a cube \item f is a dodecahedron",0,0,0,0
1103,( Small ( d ) & Dodec ( d ) ) | ( ~ ( Small ( d ) & Dodec ( d ) ) & Small ( a ) ),at least one of these holds : \item d is small and d is a dodecahedron \item it is not the case that d is small and d is a dodecahedron and a is small,0,0,0,0
1104,( Dodec ( d ) & Small ( c ) ) $ ( ~ Small ( d ) & ~ Large ( d ) ),"if d is a dodecahedron and c is small , then d is not small and d is not large",0,0,0,0
1105,Medium ( c ) $ ~ ( Cube ( f ) | Cube ( e ) | Cube ( d ) ),"if c is medium , then it is not the case that f is a cube , e is a cube or d is a cube",0,0,0,0
1106,( Tet ( a ) & Tet ( c ) ) $ ( ~ Large ( a ) $ Large ( c ) ),"if a is a tetrahedron and c is a tetrahedron , then if a is not large , then c is large",0,0,0,0
1107,Large ( f ) $ ( ~ Cube ( f ) $ Dodec ( f ) ),"if f is large , then if f is not a cube , then f is a dodecahedron",0,0,0,0
1108,( Tet ( a ) & Tet ( c ) ) $ ( Large ( a ) | Large ( c ) | Large ( a ) | Large ( c ) ),"if a is a tetrahedron and c is a tetrahedron , then a , c , a or c is large",0,0,0,0
1109,/ x ( Dodec ( x ) & Large ( x ) ),some dodecahedron is large,0,0,0,0
1110,"( Larger ( c , e ) $ Larger ( b , c ) ) & ( ~ Larger ( b , c ) $ ~ Larger ( c , e ) )","all these hold : \item if c is larger than e , then b is larger than c \item if b is not larger than c , then c is not larger than e",0,0,0,0
1111,( Medium ( c ) & ~ ( Cube ( d ) | Cube ( e ) | Cube ( f ) ) ) | ~ Medium ( c ),"at least one of these holds : \item c is medium and it is not the case that d is a cube , e is a cube or f is a cube \item c is not medium",0,0,0,0
1112,( Dodec ( d ) & Small ( d ) & ~ Small ( a ) ) | Small ( a ),"at least one of these holds : \item d is a dodecahedron , d is small and a is not small \item a is small",0,0,0,0
1113,( Large ( f ) & ( Cube ( f ) | Dodec ( f ) ) ) | ~ Large ( f ),all these hold : \item f is large \item f is a cube or f is a dodecahedron or f is not large,0,0,0,0
1114,Tet ( c ) | ~ Tet ( b ),c is a tetrahedron or b is not a tetrahedron,0,0,0,0
1115,Small ( c ) $ ( Dodec ( d ) $ ( ~ Large ( d ) & ~ Small ( d ) ) ),"if c is small , then if d is a dodecahedron , then d is not large and d is not small",0,0,0,0
1116,~ ( Small ( c ) & Dodec ( d ) ) | ( ~ Small ( d ) & ~ Large ( d ) ),at least one of these holds : \item it is not the case that c is small and d is a dodecahedron \item d is not small and d is not large,0,0,0,0
1117,( Cube ( e ) | Cube ( d ) | Cube ( f ) ) $ ~ Medium ( c ),"if e is a cube , d is a cube or f is a cube , then c is not medium",0,0,0,0
1118,( Tet ( a ) & Tet ( b ) ) | ~ Tet ( a ),at least one of these holds : \item a is a tetrahedron and b is a tetrahedron \item a is not a tetrahedron,0,0,0,0
1119,( Tet ( c ) & Tet ( b ) ) | ~ Tet ( b ),at least one of these holds : \item c is a tetrahedron and b is a tetrahedron \item b is not a tetrahedron,0,0,0,0
1120,( Small ( c ) & Dodec ( d ) & ~ ( Large ( d ) | Small ( d ) ) ) | ~ Small ( c ) | ~ Dodec ( d ),"at least one of these holds : \item c is small , d is a dodecahedron and it is not the case that d is large or small , c is not small \item d is not a dodecahedron",0,0,0,0
1121,( Small ( d ) & Dodec ( d ) & ~ Small ( a ) ) | Small ( a ),"at least one of these holds : \item d is small , d is a dodecahedron and a is not small \item a is small",0,0,0,0
1122,( Tet ( a ) & Tet ( c ) & ( Large ( a ) | Large ( c ) ) ) | ~ Tet ( a ) | ~ Tet ( c ),"at least one of these holds : \item a is a tetrahedron , c is a tetrahedron and a or c is large , a is not a tetrahedron \item c is not a tetrahedron",0,0,0,0
1123,"( Larger ( b , c ) & Larger ( c , e ) ) | ~ Larger ( c , e )",at least one of these holds : \item b is larger than c and c is larger than e \item c is not larger than e,0,0,0,0
1124,Medium ( c ) $ ( ~ Cube ( d ) & ~ Cube ( d ) & ~ Cube ( e ) & ~ Cube ( f ) ),"if c is medium , then d is not a cube , d is not a cube , e is not a cube and f is not a cube",0,0,0,0
1125,"~ @ x ( Cube ( x ) $ @ y ( Tet ( y ) $ Smaller ( x , y ) ) )",it is not the case that every cube is smaller than every tetrahedron,0,0,0,0
1126,"~ / x ( Cube ( x ) & / y RightOf ( x , y ) )",it is not the case that there is a cube x such that there is an element y such that x is to the right of y,0,0,0,0
1127,( Student ( max ) $ ~ Student ( claire ) ) & ( ~ Student ( claire ) $ Student ( max ) ),"all these hold : \item if max is a student , then claire is not a student \item if claire is not a student , then max is a student",0,0,0,0
1128,( ~ Student ( claire ) $ Student ( max ) ) & ( Student ( claire ) $ ~ Student ( max ) ),"all these hold : \item if claire is not a student , then max is a student \item if claire is a student , then max is not a student",0,0,0,0
1129,( Student ( max ) $ ~ Student ( claire ) ) & ( ~ Student ( max ) $ Student ( claire ) ),"all these hold : \item if max is a student , then claire is not a student \item if max is not a student , then claire is a student",0,0,0,0
1130,( Student ( max ) & ~ Student ( claire ) ) | ( ~ Student ( max ) & Student ( claire ) ),at least one of these holds : \item max is a student and claire is not a student \item max is not a student and claire is a student,0,0,0,0
1131,( Student ( claire ) $ ~ Student ( max ) ) & ( ~ Student ( claire ) $ Student ( max ) ),"all these hold : \item if claire is a student , then max is not a student \item if claire is not a student , then max is a student",0,0,0,0
1132,@ y ( Cube ( y ) $ Small ( y ) ),every cube is small,0,0,0,0
1133,@ z ( Dodec ( z ) $ ( Small ( z ) | Medium ( z ) | Large ( z ) ) ),"every dodecahedron is small , medium or large",0,0,0,0
1134,/ x ( Dodec ( x ) $ ~ Large ( x ) ),"there is an element x such that if x is a dodecahedron , then x is not large",0,0,0,0
1135,@ z ( Tet ( z ) $ ~ Large ( z ) ),"for all tetrahedrons z , z is not large",0,0,0,0
1136,@ u ( Cube ( u ) $ ~ Large ( u ) ),"for all cubes u , u is not large",0,0,0,0
1137,/ x ( Dodec ( x ) & ~ Large ( x ) ),there is a dodecahedron x such that x is not large,0,0,0,0
1138,/ x ( Dodec ( x ) & ~ Small ( x ) ),there is a dodecahedron x such that x is not small,0,0,0,0
1139,/ x ( Dodec ( x ) & ~ Large ( x ) & ~ Small ( x ) ),"there is an element x such that x is a dodecahedron , x is not large and x is not small",0,0,0,0
1140,@ x ( Dodec ( x ) $ ( Small ( x ) | Medium ( x ) | Large ( x ) ) ),"every dodecahedron is small , medium or large",0,0,0,0
1141,/ x ( Dodec ( x ) & Small ( x ) ),some dodecahedron is small,0,0,0,0
1142,@ x ( Tet ( x ) $ ~ Large ( x ) ),"for all tetrahedrons x , x is not large",0,0,0,0
1143,@ x ( Cube ( x ) $ ~ Large ( x ) ),"for all cubes x , x is not large",0,0,0,0
1144,/ y ( Dodec ( y ) & ~ ( Small ( y ) | Large ( y ) ) ),there is a dodecahedron y such that it is not the case that y is small or large,0,0,0,0
1145,/ u ( Dodec ( u ) & Large ( u ) ),some dodecahedron is large,0,0,0,0
1146,/ v ( Dodec ( v ) & ~ Large ( v ) ),there is a dodecahedron v such that v is not large,0,0,0,0
1147,/ w ( Dodec ( w ) & Small ( w ) ),some dodecahedron is small,0,0,0,0
1148,/ y ( Dodec ( y ) & ~ Large ( y ) & ~ Small ( y ) ),"there is an element y such that y is a dodecahedron , y is not large and y is not small",0,0,0,0
1149,~ / z ( Tet ( z ) & Large ( z ) ),it is not the case that some tetrahedron is large,0,0,0,0
1150,/ x ( Dodec ( x ) & ~ ( Large ( x ) | Small ( x ) ) ),there is a dodecahedron x such that it is not the case that x is large or small,0,0,0,0
1151,@ x ( Dodec ( x ) $ ( Small ( x ) | Large ( x ) | Medium ( x ) ) ),"every dodecahedron is small , large or medium",0,0,0,0
1152,/ x ( Dodec ( x ) & ~ ( Small ( x ) | Large ( x ) ) ),there is a dodecahedron x such that it is not the case that x is small or large,0,0,0,0
1153,~ / x ( Tet ( x ) & Large ( x ) ),it is not the case that some tetrahedron is large,0,0,0,0
1154,~ / x ( Cube ( x ) & Large ( x ) ),it is not the case that some cube is large,0,0,0,0
1155,/ x ( Dodec ( x ) & ~ Small ( x ) & ~ Large ( x ) ),"there is an element x such that x is a dodecahedron , x is not small and x is not large",0,0,0,0
1156,@ x ~ ( Cube ( x ) & Large ( x ) ),"for all x , it is not the case that x is a cube and x is large",0,0,0,0
1157,@ x ( Tet ( x ) $ ( Small ( x ) | Medium ( x ) | Large ( x ) ) ),"every tetrahedron is small , medium or large",0,0,0,0
1158,/ x ~ ( Dodec ( x ) $ ( Small ( x ) | Large ( x ) ) ),"there is an element x such that it is not the case that if x is a dodecahedron , then x is small or large",0,0,0,0
1159,/ x ( Cube ( x ) & Small ( x ) ),some cube is small,0,0,0,0
1160,@ y ( Dodec ( y ) $ ( Small ( y ) | Medium ( y ) | Large ( y ) ) ),"every dodecahedron is small , medium or large",0,0,0,0
1161,/ x ~ ( Dodec ( x ) & Large ( x ) ),there is an element x such that it is not the case that x is a dodecahedron and x is large,0,0,0,0
1162,/ x ( Dodec ( x ) & ( Small ( x ) | Medium ( x ) | Large ( x ) ) ),"some dodecahedron is small , medium or large",0,0,0,0
1163,@ x ( Dodec ( x ) $ ~ Small ( x ) ),"for all dodecahedrons x , x is not small",0,0,0,0
1164,@ y ( Tet ( y ) $ ~ Large ( y ) ),"for all tetrahedrons y , y is not large",0,0,0,0
1165,@ y ( Cube ( y ) $ ~ Large ( y ) ),"for all cubes y , y is not large",0,0,0,0
1166,/ x ( Dodec ( x ) & ~ Small ( x ) & Dodec ( x ) & ~ Large ( x ) ),"there is an element x such that x is a dodecahedron , x is not small , x is a dodecahedron and x is not large",0,0,0,0
1167,@ x ~ ( Tet ( x ) & Large ( x ) ),"for all x , it is not the case that x is a tetrahedron and x is large",0,0,0,0
1168,@ x ( Dodec ( x ) | Small ( x ) | Medium ( x ) | Large ( x ) ),"for all x , x is a dodecahedron , x is small , x is medium or x is large",0,0,0,0
1169,/ y ( Dodec ( y ) & Small ( y ) ),some dodecahedron is small,0,0,0,0
1170,/ y ( Dodec ( y ) & ~ Small ( y ) ),there is a dodecahedron y such that y is not small,0,0,0,0
1171,/ y ( Dodec ( y ) & ~ Small ( y ) & ~ Large ( y ) ),"there is an element y such that y is a dodecahedron , y is not small and y is not large",0,0,0,0
1172,@ u ( Dodec ( u ) $ ( Small ( u ) | Medium ( u ) | Large ( u ) ) ),"every dodecahedron is small , medium or large",0,0,0,0
1173,/ z ( Dodec ( z ) & Large ( z ) ),some dodecahedron is large,0,0,0,0
1174,/ z ( Dodec ( z ) & ~ Large ( z ) ),there is a dodecahedron z such that z is not large,0,0,0,0
1175,/ z ( Dodec ( z ) & Small ( z ) ),some dodecahedron is small,0,0,0,0
1176,/ z ( Dodec ( z ) & ~ Small ( z ) ),there is a dodecahedron z such that z is not small,0,0,0,0
1177,/ z ( Dodec ( z ) & ~ Large ( z ) & ~ Small ( z ) ),"there is an element z such that z is a dodecahedron , z is not large and z is not small",0,0,0,0
1178,@ w ( Tet ( w ) $ ~ Large ( w ) ),"for all tetrahedrons w , w is not large",0,0,0,0
1179,@ w ( Cube ( w ) $ ~ Large ( w ) ),"for all cubes w , w is not large",0,0,0,0
1180,@ y ( Tet ( y ) $ Small ( y ) ),every tetrahedron is small,0,0,0,0
1181,/ y ( Dodec ( y ) & Large ( y ) ),some dodecahedron is large,0,0,0,0
1182,/ y ( Dodec ( y ) & ~ Small ( y ) & Dodec ( y ) & ~ Large ( y ) ),"there is an element y such that y is a dodecahedron , y is not small , y is a dodecahedron and y is not large",0,0,0,0
1183,/ x ( Large ( x ) & Dodec ( x ) ),there is an element x such that x is large and x is a dodecahedron,0,0,0,0
1184,/ v ( Dodec ( v ) & ~ ( Large ( v ) | Small ( v ) ) ),there is a dodecahedron v such that it is not the case that v is large or small,0,0,0,0
1185,/ u ( Dodec ( u ) & ~ Small ( u ) ),there is a dodecahedron u such that u is not small,0,0,0,0
1186,/ u ( Dodec ( u ) & ~ ( Large ( u ) | Small ( u ) ) ),there is a dodecahedron u such that it is not the case that u is large or small,0,0,0,0
1187,@ v ( Tet ( v ) $ ~ Large ( v ) ),"for all tetrahedrons v , v is not large",0,0,0,0
1188,@ v ( Cube ( v ) $ ~ Large ( v ) ),"for all cubes v , v is not large",0,0,0,0
1189,/ z ( Dodec ( z ) $ ~ Large ( z ) ),"there is an element z such that if z is a dodecahedron , then z is not large",0,0,0,0
1190,@ z ( Cube ( z ) $ ~ Large ( z ) ),"for all cubes z , z is not large",0,0,0,0
1191,/ z ( Dodec ( z ) & ~ Small ( z ) & ~ Large ( z ) ),"there is an element z such that z is a dodecahedron , z is not small and z is not large",0,0,0,0
1192,/ w ( Dodec ( w ) & Large ( w ) ),some dodecahedron is large,0,0,0,0
1193,/ u ( Dodec ( u ) & Small ( u ) ),some dodecahedron is small,0,0,0,0
1194,/ v ( Dodec ( v ) & ~ Small ( v ) ),there is a dodecahedron v such that v is not small,0,0,0,0
1195,@ x ( Dodec ( x ) $ ( Large ( x ) | Medium ( x ) | Small ( x ) ) ),"every dodecahedron is large , medium or small",0,0,0,0
1196,/ w ( Dodec ( w ) & ~ Large ( w ) & ~ Small ( w ) ),"there is an element w such that w is a dodecahedron , w is not large and w is not small",0,0,0,0
